YEAR,TEAM NO,TEAM,SEED,ROUND,Z RATING
2025,1147,Akron,13,0,10.16
2025,1146,Alabama,2,0,15.62
2025,1145,Alabama St.,16,0,7.9
2025,1144,American,16,0,7.46
2025,1143,Arizona,4,0,16.87
2025,1142,Arkansas,10,0,12.48
2025,1141,Auburn,1,0,19.35
2025,1140,Baylor,9,0,14.16
2025,1139,Bryant,15,0,9.29
2025,1138,BYU,6,0,15.21
2025,1137,Clemson,5,0,13.8
2025,1136,Colorado St.,12,0,13.12
2025,1135,Connecticut,8,0,13.67
2025,1134,Creighton,9,0,13.47
2025,1133,Drake,11,0,8.56
2025,1132,Duke,1,0,18.34
2025,1131,Florida,1,0,16.98
2025,1130,Georgia,9,0,12.83
2025,1129,Gonzaga,8,0,17.58
2025,1128,Grand Canyon,13,0,10.02
2025,1127,High Point,13,0,10.78
2025,1126,Houston,1,0,15.64
2025,1125,Illinois,6,0,14.1
2025,1124,Iowa St.,3,0,16.26
2025,1123,Kansas,7,0,15.49
2025,1122,Kentucky,3,0,15.5
2025,1121,Liberty,12,0,10.39
2025,1120,Lipscomb,14,0,11.58
2025,1119,Louisville,8,0,14.4
2025,1118,Marquette,7,0,13.91
2025,1117,Maryland,4,0,15.08
2025,1116,McNeese St.,12,0,11.06
2025,1115,Memphis,5,0,11.24
2025,1114,Michigan,5,0,13.73
2025,1113,Michigan St.,2,0,16.13
2025,1112,Mississippi,6,0,14.85
2025,1111,Mississippi St.,8,0,13.8
2025,1110,Missouri,6,0,14.41
2025,1109,Montana,14,0,9.62
2025,1108,Mount St. Mary's,16,0,7.97
2025,1107,Nebraska Omaha,15,0,9.27
2025,1106,New Mexico,10,0,11.48
2025,1105,Norfolk St.,16,0,9.53
2025,1104,North Carolina,11,0,12.86
2025,1103,Oklahoma,9,0,14.3
2025,1102,Oregon,5,0,14.38
2025,1101,Purdue,4,0,13.13
2025,1100,Robert Morris,15,0,9.27
2025,1099,Saint Francis,16,0,7.2
2025,1098,Saint Mary's,7,0,11.73
2025,1097,San Diego St.,11,0,10.59
2025,1096,SIU Edwardsville,16,0,7.84
2025,1095,St. John's,2,0,13.58
2025,1094,Tennessee,2,0,15.49
2025,1093,Texas,11,0,13.93
2025,1092,Texas A&M,4,0,14.17
2025,1091,Texas Tech,3,0,16.32
2025,1090,Troy,14,0,9.9
2025,1089,UC San Diego,12,0,12.59
2025,1088,UCLA,7,0,13.01
2025,1087,UNC Wilmington,14,0,10.09
2025,1086,Utah St.,10,0,12.43
2025,1085,Vanderbilt,10,0,12.96
2025,1084,VCU,11,0,13.18
2025,1083,Wisconsin,3,0,16.71
2025,1082,Wofford,15,0,8.62
2025,1081,Xavier,11,0,14.27
2025,1080,Yale,13,0,11.91
2024,1079,Akron,14,64,9.49
2024,1078,Alabama,4,4,15.57
2024,1077,Arizona,2,16,15.79
2024,1076,Auburn,4,64,16.11
2024,1075,Baylor,3,32,14.14
2024,1074,Boise St.,10,68,12.06
2024,1073,BYU,6,64,15.18
2024,1072,Clemson,6,8,13.81
2024,1071,Colgate,14,64,9.01
2024,1070,College of Charleston,13,64,10.28
2024,1069,Colorado,10,32,14.13
2024,1068,Colorado St.,10,64,13.65
2024,1067,Connecticut,1,1,17.15
2024,1066,Creighton,3,16,16.41
2024,1065,Dayton,7,32,11.08
2024,1064,Drake,10,64,12.35
2024,1063,Duke,4,8,13.71
2024,1062,Duquesne,11,32,10.35
2024,1061,Florida,7,64,12.66
2024,1060,Florida Atlantic,8,64,12.09
2024,1059,Gonzaga,5,16,13.86
2024,1058,Grambling St.,16,64,6.55
2024,1057,Grand Canyon,12,32,11.08
2024,1056,Houston,1,16,15.58
2024,1055,Howard,16,68,7.97
2024,1054,Illinois,3,8,14.2
2024,1053,Iowa St.,2,16,15.37
2024,1052,James Madison,12,32,11.26
2024,1051,Kansas,4,32,14.46
2024,1050,Kentucky,3,64,14.1
2024,1049,Long Beach St.,15,64,8.2
2024,1048,Longwood,16,64,8.67
2024,1047,Marquette,2,16,14.51
2024,1046,McNeese St.,12,64,10.42
2024,1045,Michigan St.,9,32,13.4
2024,1044,Mississippi St.,8,64,12.63
2024,1043,Montana St.,16,68,7.79
2024,1042,Morehead St.,14,64,9.13
2024,1041,Nebraska,8,64,13.75
2024,1040,Nevada,10,64,12.64
2024,1039,New Mexico,11,64,12.67
2024,1038,North Carolina,1,16,14.48
2024,1037,North Carolina St.,11,4,12.07
2024,1036,Northwestern,9,32,12.11
2024,1035,Oakland,14,32,9.82
2024,1034,Oregon,11,32,11.8
2024,1033,Purdue,1,2,16.95
2024,1032,Saint Mary's,5,64,11.5
2024,1031,Saint Peter's,15,64,7.17
2024,1030,Samford,13,64,10.87
2024,1029,San Diego St.,5,16,13.2
2024,1028,South Carolina,6,64,11.06
2024,1027,South Dakota St.,15,64,8.7
2024,1026,Stetson,16,64,7.89
2024,1025,TCU,9,64,14
2024,1024,Tennessee,2,8,15.6
2024,1023,Texas,7,32,15
2024,1022,Texas A&M,9,32,12.52
2024,1021,Texas Tech,6,64,13.37
2024,1020,UAB,12,64,10.05
2024,1019,Utah St.,8,32,11.63
2024,1018,Vermont,13,64,8.7
2024,1017,Virginia,10,68,9.08
2024,1016,Wagner,16,64,5.9
2024,1015,Washington St.,7,32,11.08
2024,1014,Western Kentucky,15,64,8.59
2024,1013,Wisconsin,5,64,12.97
2024,1012,Yale,13,32,9.94